Numero,Dia,Fecha,Aplicación,Tiempo (s)
163,lunes,21/03/2022,Mail,1
164,lunes,21/03/2022,TikTok,33
165,lunes,21/03/2022,Telegram,1
166,martes,22/03/2022,Whatsapp,154
167,martes,22/03/2022,Instagram,52
168,martes,22/03/2022,Twitter,25
169,martes,22/03/2022,Google,300
170,martes,22/03/2022,Musica,1
171,martes,22/03/2022,Discord,1
172,martes,22/03/2022,Photos,1
173,martes,22/03/2022,Slack,1
174,martes,22/03/2022,Mail,1
175,martes,22/03/2022,TikTok,124
176,martes,22/03/2022,Telegram,2
177,miercoles,23/03/2022,Whatsapp,193
178,miercoles,23/03/2022,Instagram,89
179,miercoles,23/03/2022,Twitter,20
180,miercoles,23/03/2022,Google,1
181,miercoles,23/03/2022,Musica,20
182,miercoles,23/03/2022,Discord,1
183,miercoles,23/03/2022,Photos,1
184,miercoles,23/03/2022,Slack,12
185,miercoles,23/03/2022,Mail,1
186,miercoles,23/03/2022,TikTok,38
187,miercoles,23/03/2022,Telegram,1
188,jueves,24/03/2022,Whatsapp,103
189,jueves,24/03/2022,Instagram,53
190,jueves,24/03/2022,Twitter,12
191,jueves,24/03/2022,Google,32
192,jueves,24/03/2022,Musica,19
193,jueves,24/03/2022,Discord,1
194,jueves,24/03/2022,Photos,1
195,jueves,24/03/2022,Slack,1
196,jueves,24/03/2022,Mail,1
197,jueves,24/03/2022,TikTok,12
198,jueves,24/03/2022,Telegram,12
199,viernes,25/03/2022,Whatsapp,85
200,viernes,25/03/2022,Instagram,74
201,viernes,25/03/2022,Twitter,14
202,viernes,25/03/2022,Google,25
203,viernes,25/03/2022,Musica,7
204,viernes,25/03/2022,Discord,1
205,viernes,25/03/2022,Photos,1
206,viernes,25/03/2022,Slack,1
207,viernes,25/03/2022,Mail,1
208,viernes,25/03/2022,TikTok,87
209,viernes,25/03/2022,Telegram,1
210,sabado,26/03/2022,Whatsapp,62
211,sabado,26/03/2022,Instagram,120
212,sabado,26/03/2022,Twitter,15
213,sabado,26/03/2022,Google,29
214,sabado,26/03/2022,Musica,5
215,sabado,26/03/2022,Discord,1
216,sabado,26/03/2022,Photos,1
217,sabado,26/03/2022,Slack,1
218,sabado,26/03/2022,Mail,1
219,sabado,26/03/2022,TikTok,160
220,sabado,26/03/2022,Telegram,1
221,domingo,27/03/2022,Whatsapp,102
222,domingo,27/03/2022,Instagram,248
223,domingo,27/03/2022,Twitter,26
224,domingo,27/03/2022,Google,28
225,domingo,27/03/2022,Musica,17
226,domingo,27/03/2022,Discord,1
227,domingo,27/03/2022,Photos,1
228,domingo,27/03/2022,Slack,1
229,domingo,27/03/2022,Mail,1
230,domingo,27/03/2022,TikTok,63
231,domingo,27/03/2022,Telegram,1
232,lunes,28/03/2022,Whatsapp,265
233,lunes,28/03/2022,Instagram,210
234,lunes,28/03/2022,Twitter,51
235,lunes,28/03/2022,Google,23
236,lunes,28/03/2022,Musica,5
237,lunes,28/03/2022,Discord,1
238,lunes,28/03/2022,Photos,1
239,lunes,28/03/2022,Slack,1
240,lunes,28/03/2022,Mail,1
241,lunes,28/03/2022,TikTok,35
242,lunes,28/03/2022,Telegram,1
243,martes,29/03/2022,Whatsapp,61
244,martes,29/03/2022,Instagram,66
245,martes,29/03/2022,Twitter,26
246,martes,29/03/2022,Google,28
247,martes,29/03/2022,Musica,1
248,martes,29/03/2022,Discord,1
249,martes,29/03/2022,Photos,1
250,martes,29/03/2022,Slack,1
251,martes,29/03/2022,Mail,1
252,martes,29/03/2022,TikTok,56
253,martes,29/03/2022,Telegram,4
254,miercoles,30/03/2022,Whatsapp,225
255,miercoles,30/03/2022,Instagram,50
256,miercoles,30/03/2022,Twitter,19
257,miercoles,30/03/2022,Google,20
258,miercoles,30/03/2022,Musica,35
259,miercoles,30/03/2022,Discord,1
260,miercoles,30/03/2022,Photos,1
261,miercoles,30/03/2022,Slack,1
262,miercoles,30/03/2022,Mail,1
263,miercoles,30/03/2022,TikTok,56
264,miercoles,30/03/2022,Telegram,3
